"LotFrontage","LotArea","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","SalePrice","OverallQual","Neighborhood","ExterQual","BsmtQual","KitchenQual","GarageFinish","FireplaceQu","Foundation","GarageType","MSSubClass"
101,14215,2005,2006,380,0,1158,1158,1158,1218,2376,0,3,1,4,9,1,2005,3,853,240,154,325300,"Good","Rich","Gd","Ex","Gd","RFn","Gd","PConc","BuiltIn","60"
57,7449,1930,1950,0,0,637,637,1108,0,1108,0,1,0,3,6,1,1930,1,280,0,0,139400,"Good","Poor","TA","TA","Gd","Unf","Gd","PConc","Attchd","45"
75,9742,2002,2002,281,0,1777,1777,1795,0,1795,0,2,0,3,7,1,2002,2,534,171,159,230000,"Good","Moderate","Gd","Gd","Gd","RFn","Gd","PConc","Attchd","20"
44,4224,1976,1976,0,840,200,1040,1060,0,1060,1,1,0,3,6,1,1976,2,572,100,110,129900,"Moderate","Poor","TA","Gd","TA","Unf","TA","PConc","Attchd","120"
0,8246,1968,2001,0,188,204,1060,1060,0,1060,1,1,0,3,6,1,1968,1,270,406,90,154000,"Moderate","Poor","TA","TA","Gd","Unf","TA","CBlock","Attchd","20"
110,14230,2007,2007,640,0,1566,1566,1600,0,1600,0,2,0,3,7,1,2007,3,890,0,56,256300,"Good","Rich","Gd","Gd","Gd","RFn","Gd","PConc","Attchd","20"
60,7200,1951,2000,0,234,180,900,900,0,900,0,1,0,3,5,0,2005,2,576,222,32,134800,"Moderate","Poor","TA","TA","Gd","Unf","NFp","CBlock","Detchd","20"
98,11478,2007,2008,200,1218,486,1704,1704,0,1704,1,2,0,3,7,1,2008,3,772,0,50,306000,"Good","Rich","Gd","Ex","Gd","RFn","Gd","PConc","Attchd","20"
47,16321,1957,1997,0,1277,207,1484,1600,0,1600,1,1,0,2,6,2,1957,1,319,288,258,207500,"Moderate","Poor","TA","TA","TA","RFn","Gd","CBlock","Attchd","20"
60,6324,1927,1950,0,0,520,520,520,0,520,0,1,0,1,4,0,1920,1,240,49,0,68500,"Bad","Poor","TA","TA","Fa","Unf","NFp","BrkTil","Detchd","30"
50,8500,1920,1950,0,0,649,649,649,668,1317,0,1,0,3,6,0,1920,1,250,0,54,40000,"Bad","Poor","TA","TA","TA","Unf","NFp","BrkTil","Detchd","70"
0,8544,1966,2006,0,0,1228,1228,1228,0,1228,0,1,1,3,6,0,1966,1,271,0,65,149350,"Moderate","Poor","TA","TA","Gd","Unf","NFp","CBlock","Attchd","20"
85,11049,2007,2007,0,0,1234,1234,1234,0,1234,0,2,0,3,7,0,2007,2,484,0,30,179900,"Good","Moderate","Gd","Ex","Gd","RFn","NFp","PConc","Attchd","20"
70,10552,1959,1959,0,1018,380,1398,1700,0,1700,0,1,1,4,6,1,1959,2,447,0,38,165500,"Moderate","Poor","TA","TA","Gd","RFn","Gd","CBlock","Attchd","20"
60,7313,2005,2005,246,1153,408,1561,1561,0,1561,1,2,0,2,6,1,2005,2,556,203,47,277500,"VGood","Rich","Ex","Ex","Ex","Fin","Gd","PConc","Attchd","120"
108,13418,2004,2005,132,0,1117,1117,1132,1320,2452,0,3,1,4,9,1,2004,3,691,113,32,309000,"Good","Rich","Gd","Ex","Gd","Fin","Gd","PConc","BuiltIn","60"
112,10859,1994,1995,0,0,1097,1097,1097,0,1097,0,1,1,3,6,0,1995,2,672,392,64,145000,"Moderate","Moderate","TA","Gd","TA","Unf","NFp","PConc","Attchd","20"
74,8532,1954,1990,650,1213,84,1297,1297,0,1297,0,1,0,3,5,1,1954,2,498,0,0,153000,"Moderate","Poor","TA","TA","TA","Fin","TA","CBlock","Attchd","20"
68,7922,1953,2007,0,731,326,1057,1057,0,1057,1,1,0,3,5,0,1953,1,246,0,52,109000,"Moderate","Poor","TA","TA","Gd","Unf","NFp","CBlock","Detchd","20"
65,6040,1955,1955,0,0,0,0,1152,0,1152,0,2,0,2,6,0,1949.87497918558,0,0,0,0,82000,"Bad","Poor","TA","NBsmt","Fa","NGar","NFp","PConc","NGar","90"
84,8658,1965,1965,101,643,445,1088,1324,0,1324,0,2,0,3,6,1,1965,2,440,0,138,160000,"Moderate","Poor","TA","TA","TA","RFn","TA","CBlock","Attchd","20"
115,16905,1959,1959,0,967,383,1350,1328,0,1328,0,1,1,2,5,2,1959,1,308,0,104,170000,"Moderate","Rich","TA","TA","TA","RFn","Gd","CBlock","Attchd","20"
0,9180,1983,1983,0,747,0,840,884,0,884,1,1,0,2,5,0,1983,2,504,240,0,144000,"Moderate","Poor","TA","Gd","Gd","RFn","NFp","CBlock","Attchd","85"
0,9200,1975,1980,0,280,167,938,938,0,938,1,1,0,3,5,0,1977,1,308,145,0,130250,"Moderate","Moderate","TA","Gd","TA","Unf","NFp","CBlock","Detchd","20"
70,7945,1959,1959,0,179,465,1150,1150,0,1150,1,1,0,3,6,0,1959,1,300,0,0,141000,"Moderate","Poor","TA","TA","TA","RFn","NFp","CBlock","Attchd","20"
61,7658,2005,2005,412,456,1296,1752,1752,0,1752,1,2,0,2,6,1,2005,2,576,196,82,319900,"VGood","Rich","Ex","Ex","Ex","RFn","Gd","PConc","Attchd","120"
48,12822,2003,2003,0,1351,83,1434,1518,631,2149,1,1,1,1,6,1,2003,2,670,168,43,239686,"Good","Moderate","Gd","Ex","Gd","RFn","Ex","PConc","Attchd","50"
84,11096,2006,2006,0,24,1632,1656,1656,0,1656,0,2,0,3,7,0,2006,3,826,0,146,249700,"Good","Rich","Gd","Gd","Gd","RFn","NFp","PConc","Attchd","20"
33,4456,1920,2008,0,0,736,736,736,716,1452,0,2,0,2,8,0,1953.3310340088,0,0,0,0,113000,"Bad","Poor","TA","TA","TA","NGar","NFp","BrkTil","NGar","190"
66,7742,1966,1966,0,763,192,955,955,0,955,1,1,0,3,6,0,1966,1,386,0,0,127000,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Attchd","20"
0,13869,1997,1997,0,182,612,794,794,676,1470,0,2,0,3,6,0,1997,2,388,0,75,177000,"Moderate","Moderate","TA","Gd","TA","Fin","NFp","PConc","Attchd","60"
52,6240,1934,1950,0,0,816,816,816,0,1176,0,1,0,3,6,1,1985,2,528,112,0,114500,"Moderate","Poor","TA","TA","TA","Unf","Gd","PConc","Detchd","50"
110,8472,1963,1963,0,104,0,816,816,0,816,1,1,0,2,5,0,1963,2,516,106,0,110000,"Moderate","Poor","Fa","Gd","TA","Unf","NFp","CBlock","CarPort","90"
68,9734.79606625752,1981,1987,0,1810,32,1842,1842,0,1842,2,0,1,0,5,1,1981,3,894,156.596038917419,72,385000,"VGood","Rich","Gd","Ex","Gd","Fin","Gd","CBlock","Attchd","20"
60,7134,1955,1955,0,384,0,384,1360,0,1360,0,1,0,3,6,1,1962,2,572,0,50,130000,"Moderate","Poor","TA","TA","TA","Unf","TA","CBlock","Detchd","80"
100,10175,1964,1964,272,490,935,1425,1425,0,1425,0,2,0,3,7,1,1964,2,576,0,0,180500,"Moderate","Poor","TA","TA","TA","RFn","Gd","CBlock","Attchd","20"
24,2645,1999,2000,456,649,321,970,983,756,1739,1,2,1,3,7,0,1999,2,480,115,0,172500,"Good","Rich","Gd","Gd","Gd","Fin","NFp","PConc","Attchd","160"
89,11645,2004,2004,0,0,860,860,860,860,1720,0,2,1,3,7,0,2004,2,565,0,70,196500,"Good","Moderate","Gd","Gd","Gd","RFn","NFp","PConc","Attchd","60"
66,13682,2006,2006,209.378374220505,0,1410,1410,1426,1519,2945,0,3,1,3,10,1,2006,3,641,192,0,438780,"VGood","Rich","Ex","Ex","Gd","Fin","Gd","PConc","BuiltIn","60"
60,7200,1972,1972,0,632,148,780,780,0,780,0,1,0,2,4,0,1973,1,352,196,0,124900,"Moderate","Moderate","TA","TA","TA","Unf","NFp","CBlock","Detchd","20"
63,13072,2004,2004,0,941,217,1158,1158,0,1158,1,1,1,3,5,0,2006,2,576,0,50,158000,"Moderate","Poor","TA","Gd","Gd","Unf","NFp","PConc","Detchd","20"
60,7200,1920,1996,0,0,530,530,581,530,1111,0,1,0,3,6,0,1935,1,288,0,0,101000,"Moderate","Poor","TA","TA","Fa","Unf","NFp","BrkTil","Detchd","75"
44,6442,2006,2006,178,24,1346,1370,1370,0,1370,0,2,0,2,6,1,2006,2,484,120,49,202500,"Good","Rich","Gd","Gd","Gd","RFn","Gd","PConc","Attchd","120"
50,10300,1921,1950,0,0,576,576,902,808,1710,0,2,0,3,9,0,1990,2,480,12,11,140000,"Good","Poor","TA","TA","TA","Unf","NFp","BrkTil","Detchd","70"
0,9375,1997,1998,573,739,318,1057,1057,977,2034,1,2,1,3,8,0,1998,2,645,576,36,219500,"Good","Moderate","TA","Gd","Gd","RFn","NFp","PConc","Attchd","60"
76,9591,2004,2005,344,0,1143,1143,1143,1330,2473,0,2,1,4,9,1,2004,3,852,192,151,317000,"Good","Rich","Gd","Ex","Gd","RFn","Gd","PConc","BuiltIn","60"
0,19900,1970,1989,287,912,1035,1947,2207,0,2207,1,2,0,3,7,1,1970,2,576,301,0,180000,"Good","Poor","TA","Gd","TA","RFn","Gd","CBlock","Attchd","20"
72,10665,2003,2003,167,1013,440,1453,1479,0,1479,1,2,0,3,7,0,2003,2,558,144,29,226000,"Good","Moderate","Gd","Gd","Gd","RFn","NFp","PConc","Attchd","20"
47,4608,1945,1950,0,0,747,747,747,0,747,0,1,0,2,4,0,1945,1,220,0,0,80000,"Bad","Poor","TA","TA","TA","Unf","NFp","CBlock","Attchd","30"
81,15593,1953,1953,0,603,701,1304,1304,983,2287,0,2,0,3,7,1,1953,2,667,0,21,225000,"Good","Rich","Gd","TA","TA","Fin","TA","CBlock","Attchd","50"
95,13651,1973,1973,195.944511721711,1880,343,2223,2223,0,2223,1,2,0,3,8,2,1973,2,516,300,0,244000,"Good","Poor","TA","Gd","TA","Fin","Gd","CBlock","Attchd","20"
69,7599,1982,2006,0,565,280,845,845,0,845,1,1,0,2,4,0,1987,2,360,0,0,129500,"Bad","Moderate","TA","TA","TA","Unf","NFp","CBlock","Detchd","20"
74,10141,1998,1998,40,0,832,832,885,833,1718,0,2,1,3,7,1,1998,2,427,0,94,185000,"Good","Moderate","TA","Gd","TA","Fin","TA","PConc","Attchd","60"
85,10200,1954,2003,104,320,404,1086,1086,0,1086,1,1,0,3,6,0,1989,2,490,0,0,144900,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Attchd","20"
60,5790,1915,1950,0,0,840,840,840,765,1605,0,2,0,3,8,0,1915,1,379,0,0,107400,"Bad","Poor","Gd","Fa","TA","Unf","NFp","CBlock","Detchd","50"
21,1596,1973,1973,0,462,0,462,526,462,988,1,1,0,2,5,0,1973,1,297,120,101,91000,"Bad","Poor","TA","Gd","TA","Unf","NFp","CBlock","BuiltIn","180"
0,8475,1956,1956,0,228,724,952,952,0,952,0,1,0,2,4,0,1956,1,283,0,0,135750,"Bad","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","20"
50,8635,1948,2001,0,336,295,672,1072,213,1285,1,1,0,2,6,0,1948,1,240,0,0,127000,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","50"
72,10778,1968,1968,0,0,1768,1768,1768,0,1768,0,2,0,4,8,0,1969.42515735927,0,0,0,0,136500,"Bad","Poor","TA","TA","TA","NGar","NFp","CBlock","NGar","90"
60,10440,1910,1981,0,0,440,440,682,548,1230,0,1,1,2,5,0,1966,2,440,74,0,110000,"Moderate","Poor","TA","TA","TA","Unf","NFp","PConc","Detchd","50"
100,13000,1968,1968,576,448,448,896,1182,960,2142,0,2,1,4,8,1,1968,1,509,0,72,193500,"Moderate","Poor","TA","Gd","Gd","Fin","Gd","CBlock","Attchd","60"
32,4500,1998,1998,443,1201,36,1237,1337,0,1337,1,2,0,2,5,0,1998,2,405,0,199,153500,"Moderate","Moderate","TA","Ex","TA","Fin","NFp","PConc","Attchd","120"
78,10206,2007,2007,468,33,1530,1563,1563,0,1563,0,2,0,3,6,1,2007,3,758,144,99,245000,"Good","Rich","TA","Gd","Gd","RFn","Gd","PConc","Attchd","20"
80,8892,1960,1960,66,0,1065,1065,1065,0,1065,0,1,1,3,6,0,1974,2,461,74,0,126500,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","20"
0,8530,1995,1996,22,0,384,384,804,670,1474,0,2,1,3,7,1,1995,2,400,120,72,168500,"Good","Moderate","TA","Gd","TA","Fin","TA","PConc","BuiltIn","80"
121,16059,1991,1992,284,0,1288,1288,1301,1116,2417,0,2,1,4,9,1,1991,2,462,127,82,260000,"Good","Rich","Gd","Gd","Gd","Unf","TA","CBlock","Attchd","60"
122,11911,2005,2005,0,0,684,684,684,876,1560,0,2,1,3,6,1,2005,2,400,100,38,174000,"Moderate","Moderate","Gd","Gd","Gd","Fin","Gd","PConc","BuiltIn","60"
40,3951,2009,2009,76,0,612,612,612,612,1224,0,2,1,2,4,0,2009,2,528,0,234,164500,"Moderate","Rich","Gd","Gd","Gd","RFn","NFp","PConc","Detchd","160"
105,8470,1915,1982,0,0,1013,1013,1013,0,1526,0,1,0,2,6,0,1954.76176615283,0,0,0,0,85000,"Bad","Poor","Fa","TA","Fa","NGar","NFp","CBlock","NGar","50"
60,8070,1994,1995,0,588,402,990,990,0,990,1,1,0,3,5,0,1964.23263757137,0,0,0,0,123600,"Bad","Moderate","TA","Gd","TA","NGar","NFp","PConc","NGar","20"
60,7200,1950,1950,0,0,0,0,1040,0,1040,0,1,0,2,4,0,1950,2,420,0,29,109900,"Bad","Poor","TA","NBsmt","TA","Unf","NFp","Slab","Detchd","20"
85,8500,1961,1961,203,600,635,1235,1235,0,1235,0,1,0,2,6,0,1961,2,480,0,0,98600,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Attchd","20"
80,13360,1921,2006,0,713,163,876,964,0,964,1,1,0,2,5,0,1921,2,432,0,0,163500,"Moderate","Rich","TA","Gd","TA","Unf","NFp","BrkTil","Detchd","30"
60,7200,1910,1998,0,1046,168,1214,1260,1031,2291,0,2,0,4,9,1,1900,2,506,0,0,133900,"Moderate","Poor","TA","TA","TA","Unf","Gd","BrkTil","Detchd","190"
69,9337,1997,1997,0,648,176,824,905,881,1786,1,2,1,3,7,0,1997,2,684,0,162,204750,"Moderate","Moderate","TA","Gd","Gd","RFn","NFp","PConc","Attchd","60"
0,9765,1993,1993,68,310,370,680,680,790,1470,0,2,1,3,6,1,1993,2,420,232,63,185000,"Moderate","Moderate","Ex","Gd","TA","Fin","TA","PConc","BuiltIn","60"
78,10264,1999,1999,183,1162,426,1588,1588,0,1588,0,2,0,3,6,0,1999,2,472,158,29,214000,"Good","Moderate","Gd","Gd","Gd","RFn","NFp","PConc","Attchd","20"
73,10921,1965,1965,48,520,440,960,960,0,960,1,1,0,3,6,0,1965,1,432,120,0,94750,"Bad","Poor","TA","TA","TA","Fin","NFp","CBlock","Attchd","20"
85,10625,1920,1950,0,108,350,458,835,0,835,0,1,0,2,5,0,1920,1,366,0,0,83000,"Moderate","Poor","TA","TA","TA","Unf","NFp","BrkTil","Basment","30"
77,9320,1959,1959,0,569,381,950,1225,0,1225,1,1,1,3,6,0,1964.37418989379,0,0,352,0,128950,"Bad","Poor","TA","TA","TA","NGar","NFp","CBlock","NGar","20"
0,10603,1977,2001,28,1200,410,1610,1610,0,1610,1,2,0,3,6,2,1977,2,480,168,68,205000,"Moderate","Moderate","TA","TA","Gd","RFn","TA","PConc","Attchd","20"
77,9206,1985,1985,336,0,741,741,977,755,1732,0,2,1,3,7,1,1985,2,476,192,46,178000,"Moderate","Poor","Gd","Gd","Gd","Fin","TA","CBlock","Attchd","60"
64,7018,1979,1979,0,0,0,0,1535,0,1535,0,2,0,4,8,0,1979,2,410,0,0,118964,"Moderate","Poor","TA","NBsmt","TA","Unf","NFp","Slab","Attchd","90"
94,10402,2009,2009,0,0,1226,1226,1226,0,1226,0,2,0,3,6,0,2009,3,740,0,36,198900,"Good","Moderate","TA","Gd","Gd","RFn","NFp","PConc","Attchd","20"
0,7758,1931,1950,600,224,816,1040,1226,592,1818,0,1,1,4,7,2,1951,1,240,0,0,169500,"Good","Poor","TA","TA","TA","Unf","TA","PConc","Detchd","50"
75,9375,2003,2004,145.64950995967,0,1053,1053,1053,939,1992,0,2,1,3,9,1,2003,2,648,140,45,250000,"Good","Rich","Gd","Ex","Gd","RFn","Gd","PConc","Attchd","60"
60,10800,1885,1995,0,0,641,641,1047,0,1047,0,1,0,2,6,0,1954,1,273,0,0,100000,"Bad","Poor","TA","Fa","TA","Unf","NFp","BrkTil","Detchd","30"
50,6000,1948,1950,0,104,516,789,789,0,789,0,1,0,2,5,0,1948,1,250,0,0,115000,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","20"
85,8500,1919,2005,0,0,793,793,997,520,1517,0,2,0,3,7,0,1956.1367083304,0,0,0,0,115000,"Moderate","Poor","TA","TA","Fa","NGar","NFp","CBlock","NGar","50"
105,11751,1977,1977,480,705,1139,1844,1844,0,1844,0,2,0,3,7,1,1977,2,546,0,122,190000,"Moderate","Moderate","TA","Gd","TA","RFn","TA","CBlock","Attchd","20"
75,9525,1954,1972,0,444,550,994,1216,639,1855,0,2,0,4,7,0,1954,1,325,182,0,136900,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Attchd","50"
0,7750,2000,2000,0,250,134,384,774,656,1430,0,2,1,3,7,1,2000,2,400,180,0,180000,"Good","Moderate","TA","Gd","TA","Fin","TA","PConc","BuiltIn","80"
77,9965,2007,2007,220,984,280,1264,1282,1414,2696,1,2,1,4,10,1,2007,3,792,120,184,383970,"Good","Moderate","Gd","Ex","Ex","Fin","Gd","PConc","BuiltIn","60"
0,21000,1953,1953,184,35,905,1809,2259,0,2259,1,2,0,3,7,2,1953,2,450,166,120,217000,"Moderate","Rich","TA","Gd","Gd","Unf","Gd","CBlock","Basment","20"
61,7259,1945,2002,0,774,104,1028,1436,884,2320,1,2,1,3,9,1,1945,1,180,224,0,259500,"Moderate","Rich","TA","TA","Gd","Unf","TA","CBlock","Detchd","70"
34,3230,1999,1999,82.1205929188343,419,310,729,729,729,1458,0,2,1,2,5,1,1999,2,440,0,32,176000,"Moderate","Rich","TA","Gd","TA","Unf","Fa","PConc","Detchd","160"
0,11616,1962,1962,116,170,252,1092,1092,0,1092,0,1,0,3,6,1,1962,1,288,0,20,139000,"Moderate","Poor","TA","TA","TA","Unf","Po","CBlock","Attchd","20"
74,8536,2006,2007,0,0,1125,1125,1125,0,1125,0,1,1,2,5,0,2007,2,430,80,64,155000,"Moderate","Poor","TA","Gd","TA","Unf","NFp","PConc","Attchd","20"
90,12376,1990,1990,0,1470,203,1673,1699,1523,3222,1,3,0,5,11,2,1990,3,594,367,0,320000,"Good","Poor","TA","Gd","Gd","Unf","TA","PConc","Attchd","60"
65,8461,2005,2006,0,0,728,728,728,728,1456,0,2,1,3,8,1,2005,2,390,0,24,163990,"Moderate","Moderate","Gd","Gd","Gd","Fin","Gd","PConc","Attchd","60"
0,21453,1969,1969,0,938,0,938,988,0,988,1,1,0,1,4,2,1969,2,540,0,130,180000,"Moderate","Rich","TA","TA","TA","Unf","TA","CBlock","Attchd","80"
50,6060,1939,1950,0,0,732,732,772,351,1123,0,1,0,3,4,0,1979,1,264,0,0,100000,"Bad","Poor","TA","TA","TA","Unf","NFp","PConc","Detchd","50"
75,9464,1958,1958,135,570,510,1080,1080,0,1080,0,1,0,3,5,0,1958,1,288,0,0,136000,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Attchd","20"
55,7892,1993,1993,0,300,899,1199,1199,0,1199,0,2,0,2,5,0,1993,2,530,0,63,153900,"Moderate","Poor","Gd","Gd","Gd","RFn","NFp","PConc","Attchd","120"
48,17043,1979,1998,0,0,1362,1362,1586,0,1586,0,2,0,3,7,1,1979,2,435,192,0,181000,"Moderate","Moderate","TA","Gd","TA","Unf","TA","CBlock","Attchd","20"
60,6780,1935,1982,0,490,30,520,520,0,754,1,1,0,2,5,0,1952.61122537185,0,0,53,0,84500,"Moderate","Poor","TA","TA","TA","NGar","NFp","CBlock","NGar","190"
0,4928,1976,1976,0,120,958,1078,958,0,958,0,2,0,2,5,1,1977,2,440,0,205,128000,"Moderate","Moderate","TA","Gd","TA","RFn","TA","CBlock","Attchd","120"
55,4388,1930,1950,0,116,556,672,840,0,840,0,1,0,3,5,1,1947.88313310007,0,0,0,0,87000,"Moderate","Poor","TA","TA","TA","NGar","TA","BrkTil","NGar","45"
69,7590,1966,1966,266,512,148,660,660,688,1348,0,1,1,3,6,1,1966,2,453,188,108,155000,"Moderate","Poor","TA","TA","TA","RFn","Fa","CBlock","Attchd","60"
69,8973,1958,1991,85,567,413,1008,1053,0,1053,0,1,1,3,6,0,1998,2,750,0,80,150000,"Moderate","Poor","TA","TA","Ex","RFn","NFp","CBlock","2Types","20"
88,14200,1966,1966,309,445,479,924,1216,941,2157,0,2,1,4,8,2,1966,2,487,105,66,226000,"Good","Poor","TA","TA","Gd","Fin","Gd","CBlock","Attchd","60"
0,12224,2000,2000,40,695,297,992,1022,1032,2054,1,2,1,3,7,1,2000,2,390,24,48,244000,"Moderate","Moderate","Gd","Gd","Gd","RFn","TA","PConc","BuiltIn","60"
75,7388,1959,2002,0,405,658,1063,1327,0,1327,1,1,0,3,7,0,1974,2,624,0,0,150750,"Moderate","Poor","TA","TA","Gd","Unf","NFp","CBlock","Detchd","20"
0,6853,2001,2002,136,1005,262,1267,1296,0,1296,1,2,0,2,6,0,2001,2,471,192,25,220000,"Good","Rich","Gd","Ex","Gd","Fin","NFp","PConc","Attchd","20"
78,10335,1968,1993,0,570,891,1461,1721,0,1721,0,2,1,3,7,1,1968,2,440,0,96,180000,"Moderate","Poor","TA","TA","TA","RFn","TA","CBlock","Attchd","20"
80,10400,1970,1970,288,0,1304,1304,1682,0,1682,0,2,0,3,7,1,1970,2,530,98,0,174000,"Good","Moderate","TA","TA","TA","Unf","Gd","PConc","Attchd","20"
0,10355,1967,1967,196,695,519,1214,1214,0,1214,0,2,0,3,5,1,1967,1,318,0,111,143000,"Moderate","Poor","TA","TA","TA","RFn","Fa","CBlock","Attchd","20"
82,11070,1988,1989,70,0,1907,1907,1959,0,1959,0,3,0,5,9,0,1989,3,766,0,0,171000,"Good","Moderate","TA","TA","TA","Unf","NFp","CBlock","2Types","90"
73,9066,1999,2000,320,668,336,1004,1004,848,1852,0,2,1,3,7,2,1999,3,660,224,106,230000,"Good","Moderate","Gd","Gd","Gd","Fin","TA","PConc","Attchd","60"
65,15426,1997,1997,0,821,107,928,928,836,1764,1,2,1,3,7,0,1997,2,470,276,99,231500,"Moderate","Moderate","TA","Gd","Gd","RFn","NFp","PConc","Attchd","60"
70,10500,1971,1971,0,432,432,864,864,0,864,0,1,0,3,5,1,1957.41288717919,0,0,0,0,115000,"Bad","Poor","TA","TA","TA","NGar","Po","CBlock","NGar","20"
78,11645,2005,2005,0,1300,434,1734,1734,0,1734,1,2,0,3,7,0,2005,2,660,160,24,260000,"Good","Moderate","Gd","Gd","Gd","Fin","NFp","PConc","Attchd","20"
71,8520,1952,1952,0,507,403,910,910,475,1385,0,2,0,4,6,0,2000,2,720,0,0,166000,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","50"
